Dif	Group
12759195	sim
4532457	sim
1164110	sim
8218053	sim
7591574	sim
4726275	sim
14982503	sim
825838	sim
644864	sim
16588903	sim
1713222	sim
6673877	sim
8501438	sim
1311530	sim
1410526	sim
10318067	sim
12195046	sim
7382198	sim
6120639	sim
612646	sim
5547329	sim
2528135	sim
327370	sim
6184566	sim
1533972	sim
330486	sim
8518458	sim
6910670	sim
1428002	sim
4715340	sim
7314204	sim
3931773	sim
4251606	sim
4387149	sim
24590619	sim
5361945	sim
2776989	sim
8666723	sim
1577571	sim
5991461	sim
942670	sim
10006973	sim
106225	sim
170130	sim
594354	sim
16180675	sim
168721	sim
8007903	sim
2179477	sim
5506168	sim
15097261	sim
6854044	sim
48317	sim
5023265	sim
104623	sim
12318736	sim
9299107	sim
4436249	sim
1926315	sim
763435	sim
1451103	sim
3473334	sim
1251172	sim
3366082	sim
6429067	sim
1517634	sim
8086260	sim
4696704	sim
1207786	sim
1008793	sim
6074298	sim
27805166	sim
5431710	sim
2385455	sim
5070685	sim
9312337	sim
3886081	sim
5562787	sim
9153656	sim
6491384	sim
9986467	sim
9951913	sim
3224058	sim
4482693	sim
1849819	sim
5475930	sim
672478	sim
12712982	sim
11232410	sim
4540368	sim
147389	sim
2823228	sim
3744567	sim
7726905	sim
6619286	sim
9123713	sim
430146	sim
2285703	sim
6418767	sim
17223834	sim
9496711	sim
68638	sim
2056555	sim
3861388	sim
1770323	sim
5446151	sim
14504246	sim
3067998	sim
3282367	sim
19102559	sim
1913623	sim
5810958	sim
1189243	sim
6480122	sim
2310636	sim
5135882	sim
7711421	sim
2576726	sim
4830985	sim
4517216	sim
1996132	sim
465230	sim
6742437	sim
10137383	sim
9577888	sim
3778538	sim
3697470	sim
8822457	sim
1496668	sim
17089492	sim
12029065	sim
5968497	sim
14062193	sim
6419550	sim
2554451	sim
11468395	sim
7110433	sim
4073678	sim
1870051	sim
367984	sim
702213	sim
6157494	sim
10756050	sim
3019107	sim
5049748	sim
11997685	sim
1497031	sim
4512306	sim
4197960	sim
1184493	sim
20972143	sim
6500791	sim
3530734	sim
3538074	sim
2211354	sim
4807763	sim
1337997	sim
1427427	sim
7264127	sim
4190842	sim
11493569	sim
2502416	sim
5328585	sim
15056952	sim
28117595	sim
1812416	sim
82942	sim
8693063	sim
1563411	sim
9360405	sim
560517	sim
4954478	sim
5769142	sim
5056694	sim
816647	sim
475258	sim
1732647	sim
3451101	sim
1981291	sim
1157621	sim
12265585	sim
1897150	sim
6284046	sim
2286426	sim
2325439	sim
8681265	sim
1047174	sim
6156672	sim
12563994	sim
1876499	sim
12569277	sim
4700761	sim
6261398	sim
1416482	sim
2828175	sim
8819996	sim
4780868	sim
4383863	sim
2397960	sim
6624336	sim
2758305	sim
9100267	sim
12002124	sim
6311676	sim
4116170	sim
5414561	sim
4903170	sim
2196596	sim
11693585	sim
8560782	sim
2758507	sim
5782476	sim
461525	sim
1992965	sim
2915329	sim
3962626	sim
207105	sim
4112725	sim
3366076	sim
485486	sim
2668828	sim
5772946	sim
8506456	sim
8680811	sim
3927726	sim
3901214	sim
1545752	sim
8486918	sim
2192898	sim
11313492	sim
20274440	sim
768637	sim
11928433	sim
1042279	sim
1370215	sim
1203478	sim
12687214	sim
740678	sim
208394	sim
443594	sim
4483842	sim
5823388	sim
1627456	sim
3707648	sim
3586039	sim
2866463	sim
679889	sim
6295871	sim
1629355	sim
2843877	sim
15467647	sim
5352640	sim
1743003	sim
9405141	sim
452103	sim
2107100	sim
6576990	sim
43903812	sim
5194020	sim
2730512	sim
306456	sim
1618151	sim
39242	sim
10945741	sim
348380	sim
9750671	sim
6576953	sim
14806479	sim
566001	sim
4597900	sim
12432731	sim
7053933	sim
2350911	sim
806053	sim
161853	sim
7949686	sim
1321811	sim
21333193	sim
3468120	sim
1760959	sim
8213700	sim
1957345	sim
13202218	sim
5075077	sim
478019	sim
888693	sim
88791	sim
198467	sim
1519047	sim
3485379	sim
2036164	sim
10729327	sim
849820	sim
91637	sim
1658268	sim
13314626	sim
