Dif	Group
33705359	sim
966493	sim
8050436	sim
1968288	sim
4951923	sim
11145497	sim
43545205	sim
13762339	sim
12225918	sim
36079742	sim
31332531	sim
1781636	sim
40648760	sim
1870266	sim
17921763	sim
15356749	sim
43089615	sim
53746284	sim
16827343	sim
5318850	sim
30342687	sim
15988259	sim
49463427	sim
35858832	sim
2870594	sim
30750127	sim
7081903	sim
84431452	sim
4508066	sim
10350672	sim
56953926	sim
35062365	sim
29306506	sim
3815984	sim
19317610	sim
11329407	sim
39073694	sim
35764601	sim
35591526	sim
12856735	sim
34123757	sim
33550439	sim
16982477	sim
43765173	sim
3112786	sim
10864737	sim
2607797	sim
18563084	sim
18576855	sim
18245870	sim
10584300	sim
40371462	sim
6825149	sim
14121839	sim
2940198	sim
36436538	sim
23671119	sim
54760671	sim
52562515	sim
14742807	sim
31030421	sim
12233657	sim
19702346	sim
39623397	sim
41653446	sim
13154791	sim
55163523	sim
11033573	sim
1886083	sim
3528440	sim
16007979	sim
47359932	sim
4662785	sim
7882941	sim
30582452	sim
17945155	sim
35337548	sim
456198	sim
6816259	sim
53822399	sim
7422036	sim
21891177	sim
32240947	sim
33904785	sim
24397588	sim
50371739	sim
7387893	sim
36349824	sim
13948689	sim
20551503	sim
32223591	sim
28254733	sim
20010347	sim
18671242	sim
22755843	sim
67454086	sim
14978102	sim
18512942	sim
76799358	sim
35760342	sim
4375241	sim
7135056	sim
838734	sim
61254697	sim
13579812	sim
36718790	sim
22445050	sim
2970114	sim
52765013	sim
70811777	sim
34024886	sim
23735923	sim
12846550	sim
13711018	sim
29046722	sim
1745186	sim
11135568	sim
23512536	sim
25202176	sim
43116279	sim
4054033	sim
53423764	sim
6183650	sim
2480094	sim
18167200	sim
27095580	sim
8153200	sim
22040397	sim
46738538	sim
37351740	sim
7344650	sim
45213688	sim
17295067	sim
65100927	sim
18793350	sim
50673662	sim
44930909	sim
26857010	sim
9198801	sim
76838725	sim
35912625	sim
17464831	sim
15846636	sim
13774027	sim
61839119	sim
3670000	sim
24343907	sim
27431424	sim
7616280	sim
53549482	sim
72884514	sim
46473483	sim
10256052	sim
18698007	sim
1153331	sim
28245896	sim
36661231	sim
41431725	sim
4150791	sim
35222289	sim
22386032	sim
23075958	sim
56067386	sim
4788690	sim
9289408	sim
17885604	sim
20426215	sim
9613143	sim
32347163	sim
1214341	sim
21201523	sim
18773078	sim
18277808	sim
71355423	sim
18750652	sim
13388684	sim
53785187	sim
64858108	sim
90033770	sim
5973216	sim
27764440	sim
6723845	sim
32734609	sim
21846972	sim
10818886	sim
1995903	sim
11555156	sim
32798783	sim
28210742	sim
41204773	sim
9372601	sim
13928541	sim
44014300	sim
14221155	sim
31663479	sim
51278475	sim
22557943	sim
21114921	sim
146720	sim
34696695	sim
24482438	sim
26345005	sim
35525188	sim
1103161	sim
39088166	sim
21629468	sim
38782916	sim
46458062	sim
14520695	sim
22436023	sim
45059217	sim
22143940	sim
1875850	sim
28453757	sim
7231590	sim
10075575	sim
28956023	sim
19938539	sim
2634947	sim
22224059	sim
38262416	sim
12310975	sim
17966097	sim
6519298	sim
55209817	sim
78372464	sim
399777	sim
31045708	sim
41507015	sim
64745585	sim
21124301	sim
9297008	sim
60841131	sim
18664696	sim
1055946	sim
100501997	sim
2146238	sim
799093	sim
17015051	sim
84811396	sim
35460112	sim
13033020	sim
7977462	sim
42311141	sim
42800323	sim
6472711	sim
25311416	sim
30780510	sim
34909185	sim
2202906	sim
17420584	sim
8154407	sim
38036521	sim
18559846	sim
25706168	sim
95091283	sim
72027	sim
12961736	sim
6339902	sim
9409145	sim
15489053	sim
8010974	sim
8333057	sim
40106380	sim
59945038	sim
16726454	sim
70353902	sim
11561870	sim
2016864	sim
34520825	sim
6475612	sim
16603163	sim
26159704	sim
21553437	sim
9844984	sim
22148642	sim
31673873	sim
64814204	sim
48984078	sim
32653421	sim
4215026	sim
2936110	sim
16898027	sim
24785001	sim
4212098	sim
55126769	sim
25413996	sim
1826186	sim
19071748	sim
99167193	sim
18615390	sim
14244279	sim
53373329	sim
35008311	sim
26045462	sim
2467575	sim
27051995	sim
37302702	sim
28438777	sim
26976921	sim
7160770	sim
53491477	sim
5677141	sim
64502819	sim
42224329	sim
9331273	sim
7938552	sim
74658329	sim
9232566	sim
4031658	sim
52884674	sim
7438262	sim
2549788	sim
2452188	sim
84684737	sim
50030771	sim
3898612	sim
1503922	sim
49210323	sim
33372312	sim
9193627	sim
39806504	sim
90796724	sim
3725099	sim
10787352	sim
10741026	sim
11626991	sim
49589856	sim
2100960	sim
62437580	sim
50561639	sim
3705729	sim
73084954	sim
25772983	sim
13788722	sim
1237010	sim
51206683	sim
29391717	sim
1214736	sim
15926837	sim
22783264	sim
34445231	sim
16808388	sim
62617556	sim
9623659	sim
20803141	sim
16201466	sim
5078117	sim
25453492	sim
18651284	sim
7953298	sim
6114796	sim
16694077	sim
4896448	sim
55317852	sim
405073	sim
57817594	sim
5478494	sim
79233585	sim
8551672	sim
28150281	sim
15680901	sim
18042044	sim
52720060	sim
5383923	sim
11905759	sim
40395643	sim
10185959	sim
46248539	sim
25138300	sim
76390287	sim
38314011	sim
2870842	sim
4848878	sim
54215546	sim
6662859	sim
50291911	sim
14732538	sim
23541325	sim
38827209	sim
21102232	sim
16520230	sim
30921726	sim
29749962	sim
21718584	sim
21257124	sim
14768419	sim
6719732	sim
8813117	sim
61411241	sim
2177759	sim
53933646	sim
13779594	sim
40077111	sim
6074026	sim
35142342	sim
25230516	sim
20588065	sim
12971798	sim
45945526	sim
1279888	sim
21458260	sim
21573896	sim
52800523	sim
13575548	sim
8030496	sim
12539993	sim
24759833	sim
5085613	sim
92451463	sim
8005375	sim
24654397	sim
10224883	sim
39636981	sim
16120139	sim
50743097	sim
75425371	sim
9367678	sim
34652098	sim
32784066	sim
57653555	sim
13789044	sim
5519298	sim
19816476	sim
41565135	sim
25904783	sim
2770498	sim
14765092	sim
24703580	sim
76941614	sim
18452639	sim
11444717	sim
40719683	sim
1957093	sim
6442	sim
85622759	sim
3937525	sim
2390776	sim
9312456	sim
35896666	sim
7867738	sim
96221741	sim
6729176	sim
7658583	sim
43441271	sim
85124271	sim
522806	sim
17853240	sim
49929239	sim
8010265	sim
28833651	sim
29882290	sim
1448225	sim
77495613	sim
20983600	sim
2604059	sim
70262490	sim
27544441	sim
6692089	sim
24362901	sim
78348559	sim
5795326	sim
46661054	sim
28622852	sim
13264361	sim
2816281	sim
10866893	sim
23663180	sim
7350352	sim
13109122	sim
10537126	sim
32243839	sim
47106054	sim
17481073	sim
46513522	sim
37683124	sim
6474169	sim
638693	sim
20028294	sim
43110803	sim
40908027	sim
6228392	sim
25981398	sim
31090873	sim
36501411	sim
17675872	sim
29582823	sim
38525787	sim
19946054	sim
18844211	sim
6531797	sim
41756942	sim
38030160	sim
3323480	sim
4876673	sim
15753346	sim
67180658	sim
53921371	sim
22491282	sim
5701391	sim
22417787	sim
36881497	sim
92720640	sim
15180197	sim
23127528	sim
6802329	sim
23164165	sim
16413679	sim
74914	sim
47715802	sim
20020627	sim
110299418	sim
3629337	sim
8950093	sim
83227264	sim
18081241	sim
32655812	sim
11011029	sim
2700526	sim
88059519	sim
380967	sim
8771320	sim
27197127	sim
54659232	sim
3334607	sim
5679424	sim
19190641	sim
5494066	sim
117560	sim
82024779	sim
11865338	sim
59355203	sim
20908227	sim
20598371	sim
4945839	sim
51337340	sim
60939880	sim
13846334	sim
36121824	sim
23471662	sim
59159821	sim
9878663	sim
26729961	sim
13104811	sim
867295	sim
45618794	sim
7802742	sim
4443328	sim
46058356	sim
59273512	sim
1300196	sim
4577873	sim
76758203	sim
11185473	sim
18960951	sim
10540159	sim
81803195	sim
3311937	sim
28507678	sim
109359	sim
29498625	sim
43376038	sim
52340174	sim
65860219	sim
31051610	sim
3886069	sim
12286186	sim
68526546	sim
4785243	sim
12584561	sim
64283450	sim
9376770	sim
15975150	sim
2091050	sim
48245046	sim
49411200	sim
32787102	sim
3746109	sim
32139059	sim
19652933	sim
56075664	sim
6816626	sim
26824797	sim
9486452	sim
1661185	sim
5026504	sim
49422282	sim
8489237	sim
16504208	sim
23776502	sim
9784291	sim
8111951	sim
4875425	sim
51645838	sim
33287718	sim
49426492	sim
6453673	sim
20892438	sim
24681071	sim
48911566	sim
74159594	sim
3630340	sim
20452719	sim
28460460	sim
22755147	sim
49002016	sim
7238699	sim
107720584	sim
4279219	sim
1201570	sim
1208989	sim
61585951	sim
63425916	sim
2568307	sim
4234004	sim
98965737	sim
11633534	sim
13063307	sim
59659765	sim
7914178	sim
5231138	sim
15674310	sim
14417626	sim
5344344	sim
4419994	sim
